id,proyecto,provincia,tecnologia,ronda,potencia_mw,latitud,longitud,avance,estado,periodo_max,geojson
SFV-275,P.S. GUAÑIZUIL II A,SAN JUAN,SOLAR,RENOVAR RONDA 2,100,-30.36230345,-69.28004239,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-69.28004239,-30.36230345]}"
SFV-284,P.S. ZAPATA,MENDOZA,SOLAR,RENOVAR RONDA 2,37,-33.48090022,-68.99681239,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-68.99681239,-33.48090022]}"
SFV-300,P.S. V.MARIA DEL RIO SECO,CÓRDOBA,SOLAR,RENOVAR RONDA 2,20,-29.98414448,-63.77442788,0.7,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-63.77442788,-29.98414448]}"
SFV-301,P.S. CURA BROCHERO,CÓRDOBA,SOLAR,RENOVAR RONDA 2,17,-31.72007793,-65.03529633,0.7,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-65.03529633,-31.72007793]}"
SFV-3202,P.S. HELIOS SANTA ROSA PV,MENDOZA,SOLAR,RENOVAR RONDA 3,5,-33.311264,-68.044632,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-68.044632,-33.311264]}"
SFV-3203,P.S. LOS ALAMOS,CATAMARCA,SOLAR,RENOVAR RONDA 3,9.25,-28.950618,-65.745753,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-65.745753,-28.950618]}"
SFV-3205,P.S. DEL AMANECER,CATAMARCA,SOLAR,RENOVAR RONDA 3,9.5,-28.950618,-65.745753,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-65.745753,-28.950618]}"
SFV-3206,P.S. ENERLAND SAN MARTIN,MENDOZA,SOLAR,RENOVAR RONDA 3,10,-33.084476,-68.44156,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-68.44156,-33.084476]}"
SFV-3207,P.S. TINOGASTA TOZZI,CATAMARCA,SOLAR,RENOVAR RONDA 3,10,-28.09,-67.53,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-67.53,-28.09]}"
SFV-3208,P.S. SAENZ PEÑA,CHACO,SOLAR,RENOVAR RONDA 3,10,-26.874002,-60.451564,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-60.451564,-26.874002]}"
SFV-3209,P.S. CALCHAQUI,SANTA FE,SOLAR,RENOVAR RONDA 3,10,-29.89438,-60.271162,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-60.271162,-29.89438]}"
SFV-3210,P.S. NOGOLI I,SAN LUIS,SOLAR,RENOVAR RONDA 3,10,-32.945556,-66.367222,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-66.367222,-32.945556]}"
SFV-3211,P.S. SOLARES LA ANGOSTURA,SALTA,SOLAR,RENOVAR RONDA 3,2,-25.535755,-66.215094,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-66.215094,-25.535755]}"
SFV-3214,P.S. CAPDEVILLE - LAS HERAS,MENDOZA,SOLAR,RENOVAR RONDA 3,2,-32.78984722,-68.84819722,0.01,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-68.84819722,-32.78984722]}"
SFV-3216,P.S. ALGARROBO,SAN JUAN,SOLAR,RENOVAR RONDA 3,5.5,-31.7539,-68.2548,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-68.2548,-31.7539]}"
SFV-3217,P.S. LA CUMBRE III,SAN LUIS,SOLAR,RENOVAR RONDA 3,10,-33.347886,-66.1206,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-66.1206,-33.347886]}"
SFV-38,P.S. CAUCHARI I,JUJUY,SOLAR,RENOVAR RONDA 1,100,-24.10130833,-66.73001389,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.73001389,-24.10130833]}"
SFV-39,P.S. CAUCHARI II,JUJUY,SOLAR,RENOVAR RONDA 1,100,-24.09514444,-66.73580278,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.73580278,-24.09514444]}"
SFV-40,P.S. CAUCHARI III,JUJUY,SOLAR,RENOVAR RONDA 1,100,-24.09072778,-66.74044722,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.74044722,-24.09072778]}"
SPT-BM-01,C.T. A.P. PTO PIRAY,MISIONES,BIOMASA,SPOT,38,-26.480686,-54.71653,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-54.71653,-26.480686]}"
SPT-BM-02,C.T. LA PROVIDENCIA ARCOR,TUCUMAN,BIOMASA,SPOT,11,-27.264308,-65.567696,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-65.567696,-27.264308]}"
SPT-BM-03,C.T. NIDERA,BUENOS AIRES,BIOMASA,SPOT,7,-34.585651,-61.029968,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-61.029968,-34.585651]}"
SPT-PAH-01,P.A.H CASSAFFOUSTH,CÓRDOBA,PAH,SPOT,17,-32.175661,-64.373665,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-64.373665,-32.175661]}"
SPT-PAH-02,P.A.H. CRUZ DEL EJE,CÓRDOBA,PAH,SPOT,1.1,-30.763695,-64.753591,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-64.753591,-30.763695]}"
SPT-PAH-03,P.A.H. FITZ SIMON,CÓRDOBA,PAH,SPOT,11,-32.178275,-64.420883,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-64.420883,-32.178275]}"
SPT-PAH-04,P.A.H. LOS MOLINOS II,CÓRDOBA,PAH,SPOT,4.5,-31.843309,-64.414831,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-64.414831,-31.843309]}"
SPT-PAH-05,P.A.H. LA VIÑA,CÓRDOBA,PAH,SPOT,16,-31.871396,-65.036397,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-65.036397,-31.871396]}"
SPT-PAH-06,P.A.H. PIEDRAS MORAS,CÓRDOBA,PAH,SPOT,6.3,-32.166493,-64.244426,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-64.244426,-32.166493]}"
SPT-PAH-07,P.A.H. SAN ROQUE,CÓRDOBA,PAH,SPOT,26,-31.353242,-64.393694,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-64.393694,-31.353242]}"
SPT-PAH-08,P.A.H. LAS MADERAS,JUJUY,PAH,SPOT,30.6,-24.449614,-65.250271,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-65.250271,-24.449614]}"
SPT-PAH-09,P.A.H. RIO REYES,JUJUY,PAH,SPOT,7,-24.43093,-65.277015,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-65.277015,-24.43093]}"
SPT-PAH-10,P.A.H. CARRIZAL,MENDOZA,PAH,SPOT,17,-33.298542,-68.721355,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.721355,-33.298542]}"
SPT-PAH-11,P.A.H. LOS CORONELES,MENDOZA,PAH,SPOT,6.6,-34.599503,-68.533562,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.533562,-34.599503]}"
SPT-PAH-12,P.A.H. EL TIGRE,MENDOZA,PAH,SPOT,14,-34.608444,-68.613249,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.613249,-34.608444]}"
SPT-PAH-13,P.A.H. SAN MARTIN,MENDOZA,PAH,SPOT,6.5,-33.045026,-68.921997,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.921997,-33.045026]}"
